23865000, Heave Mean: -0.038, Heave Variance: 0.000, Elements: -0.037 -0.037 -0.038 -0.038 -0.038 -0.039
23064999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23064999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
24065000, Heave Mean: -0.038, Heave Variance: 0.000, Elements: -0.037 -0.038 -0.038 -0.038 -0.039 -0.039
23264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23264999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
24265000, Heave Mean: -0.038, Heave Variance: 0.000, Elements: -0.038 -0.038 -0.038 -0.039 -0.039 -0.039
23464999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23464999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
24465000, Heave Mean: -0.039, Heave Variance: 0.000, Elements: -0.038 -0.038 -0.039 -0.039 -0.039 -0.039
23664999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23664999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
24665000, Heave Mean: -0.039, Heave Variance: 0.000, Elements: -0.038 -0.039 -0.039 -0.039 -0.039 -0.040
23864999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23864999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
24865000, Heave Mean: -0.039, Heave Variance: 0.000, Elements: -0.039 -0.039 -0.039 -0.039 -0.040 -0.040
24064999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
24064999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
25065000, Heave Mean: -0.039, Heave Variance: 0.000, Elements: -0.039 -0.039 -0.039 -0.040 -0.040 -0.040
24264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
